lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Rossi;2R;mouse;IgM;E8M1B;BioConcept;49314SF;;FITC (in house conj);FFPE;in use;100;12.2;ok;93.82;70
Rossi;3R0;mouse;CD23 ;Polyclonal rabbit;Thermo Fischer;PA5-79242;;FITC (in house conj);FFPE;none;100;8.3;ok;0;71
Rossi;3R1;mouse;CD23 ;Polyclonal rabbit;Thermo Fischer;PA5-79242;;FITC (in house conj);FFPE;in use;100;8.3;ok;100;71
Rossi;4R;mouse;IgD ;11-26c ;Thermo Fischer;12-5993-82;;PE;FFPE;in use;500;0.5;no;467;72
Rossi;5R0;mouse;CD21;SP186;Abcam;AB306326;;APC;FFPE;none;100;4.7;good;17.75;73
Rossi;5R1;mouse;CD21;SP186;Abcam;AB306326;;APC;FFPE;in use;100;4.7;good;68;73
Rossi;6R0;mouse;MadCAM1;EPR27223-58;Abcam;AB318244;;AF647;FFPE;none;100;5.4;ok;0;74
Rossi;6R1;mouse;MadCAM1;EPR27223-58;Abcam;AB318244;;AF647;FFPE;in use;100;5.4;ok;33.75;74
Rossi;7R;mouse;CD98;EPR27111-83;Abcam;AB317482;;APC;FFPE;in use;100;5.4;no;78;84
Rossi;8R;mouse;TLR9;26C593.2;Abcam;AB134368;;APC (in-house conj);FFPE;in use;100;6.3;good;70.07;85
Rossi;9R;mouse;DLL1;Rabbit Polyclonal;Abcam;AB10554;;APC (in-house conj);FFPE;in use;100;7;good;70.2;86
Rossi;10R;mouse;EDG3/S1P3;EPR4541(2);Abcam;AB318370;;PE;FFPE;in use;100;5.4;ok;51.13;87
Rossi;11R;mouse/human;CD27;Rabbit Polyclonal;Abcam;AB175403;;primary;FFPE;in use;100;7.6;no;95.89;88
Rossi;12R;mouse;CD1d;1B1;BD pharm;553846;;PE;FFPE;in use;500;0.3;no;489;89
Rossi;13R;mouse;PAX5;D7H5X;Cell Signaling;65895S;;AF488;FFPE;in use;100;6.2;good;81.42;90
Rossi;14R;mouse;BAFF;2P6I3;Thermo Fischer;MA5-58152;;APC (in-house conj);FFPE;in use;100;7.1;no;93.13;91
Rossi;15R;mouse;TACI;8F10;Stemcell;60116PE.1;;PE;FFPE;in use;250;0.5;no;239;92
Rossi;16R;mouse;IgG;goat anti-mouse IgG;LuBioScience;AI-9200-1.5;;FITC (in house conj);FFPE;in use;100;5.3;no;78;93
Rossi;17R;mouse;Bcl6;7D1;Abcam;AB252245;;APC (in-house conj);FFPE;in use;100;9.4;no;47;94
Rossi;18R0;mouse;Marco;EPR22944-64;Abcam;AB319578;;AF488;FFPE;none;100;5.2;good;0;95
Rossi;18R1;mouse;Marco;EPR22944-64;Abcam;AB319578;;AF488;FFPE;in use;100;5.2;good;79;95
Rossi;19R0;mouse;Signr1;EPR27427-87;Abcam;AB319018;;AF488;FFPE;in use;100;5.2;good;36;96
Rossi;19R1;mouse;Signr1;EPR27427-87;Abcam;AB319018;;AF488;FFPE;in use;100;5.2;good;84;96
Rossi;20R;mouse;CD169;EPR27102-11;Abcam;AB317479;;AF488;FFPE;in use;100;5.2;ok;62.25;97
Rossi;21R0;mouse;CD68;RM1031;Abcam;AB303566;;FITC (in house conj);FFPE;none;100;9.4;good;0;98
Rossi;21R1;mouse;CD68;RM1031;Abcam;AB303566;;FITC (in house conj);FFPE;in use;100;9.4;good;72;98
Rossi;22R0;mouse;CD3e;E4T1B;BioConcept;86315S;;AF647;FFPE;none;100;6.2;good;0;99
Rossi;22R1;mouse;CD3e;E4T1B;BioConcept;86315S;;AF647;FFPE;in use;100;6.2;good;15;99
Rossi;22R2;mouse;CD3e;E4T1B;BioConcept;86315S;;AF647;FFPE;backup;100;6.2;good;100;99
Rossi;23R0;mouse;IRF-4;E8H3S;BioConcept;52410S;;PE;FFPE;none;100;6.2;good;0;100
Rossi;23R1;mouse;IRF-4;E8H3S;BioConcept;52410S;;PE;FFPE;in use;100;6.2;good;68;100
Rossi;23R2;mouse;IRF-4;E8H3S;BioConcept;52410S;;PE;FFPE;backup;100;6.2;good;100;100
Rossi;24R;mouse;KLF2;E7K8Y;BioConcept;51221S;;FITC (in house conj);FFPE;in use;100;9.2;no;47;101
Rossi;25R;mouse;Notch2;Polyclonal rabbit;Abcam;ab8926;;primary;FFPE;in use;200;3;good;199.45;102
Rossi;26R;mouse;CD79a;IGA/1790R;LifeTechnologies;973-RBM10-P1;;APC (in-house conj);FFPE;in use;500;1.8;no;478;103
Rossi;27R0;mouse;CD8;D4W2Z;BioConcept;60168SF;;APC (in-house conj);FFPE;none;100;11.3;good;0;104
Rossi;27R1;mouse;CD8;D4W2Z;BioConcept;60168SF;;AF647 (in-house conj);FFPE;in use;100;11.3;good;36;104
Rossi;27R2;mouse;CD8;D4W2Z;BioConcept;60168SF;;APC (in-house conj);FFPE;backup;100;11.3;good;100;104
Rossi;28R0;mouse;CD11c;D1V9Y;Cell Signaling;88204S;;AF647;FFPE;in use;100;6.2;good;6;105
Rossi;28R1;mouse;CD11c;D1V9Y;Cell Signaling;88204S;;AF647;FFPE;backup;100;6.2;good;100;105
Rossi;29R;mouse;CD138;281-2;BD pharm;553712;;APC (in-house conj);FFPE;in use;100;4;good;70.75;106
Rossi;30R;mouse;Notch2;D76A6;Cell Signaling;70948S;;AF488;FFPE;in use;100;6.2;no;94.75;107
Rossi;31R;mouse;BCL2;EPR17509;Abcam;ab219608;;FITC (in house conj);FFPE;in use;100;10;no;58;108
Rossi;32R;mouse;c-Myc;Y69;Abcam;ab190560;;AF647;FFPE;in use;100;6.7;good;0;109
Rossi;33R;mouse;IgG;polyclonal goat IgG;Thermo Fischer;31981;;APC;FFPE;in use;500;1;good;373;110
Rossi;34R;mouse;IgM;polyclonal goat IgG;Thermo Fischer;A-21238;;AF647;FFPE;in use;250;1.4;good;193.58;111
Rossi;35R;mouse;c-Myc;Y69;Abcam;AB201807-1001;;APC (in-house conj);FFPE;in use;100;11;good;89.5;112
Baggiolini;1B;human;beta-Tubulin 3;REA1152;Miltenyi;130-120-264;;FITC;FFPE;in use;200;1.2;good;189;113
Baggiolini;2B;human;GAD65;REAL1083;Miltenyi;130-129-276;;PE;FFPE;in use;200;2.1;no;178;114
Baggiolini;3B;human/mouse;NeuN;REA1131;Miltenyi;130-119-492;;FITC;FFPE;in use;200;1.2;good;161.75;115
Baggiolini;4B;human;Synaptotagmin;REAL1459;Miltenyi;130-132-781;;APC;FFPE;in use;200;2.1;no;178;116
Baggiolini;5B;human/mouse;S100B;REAL1328;Miltenyi;130-130-619;;PE;FFPE;in use;200;1.8;good;194.5;117
Baggiolini;6B;human;CD44;REA690;Miltenyi;130-113-341;;FITC;FFPE;in use;200;1.2;good;189;118
Baggiolini;7B;human;MAP2;REAL1048;Miltenyi;130-128-142;;PE;FFPE;in use;200;2.1;good;189;119
